type,layer,length,x1,y1,x2,y2
LINE,S-RBAR,420.0,66765.16129917279,27520.39394708468,66765.16129917279,27100.39394708468
LINE,S-RBAR,8.0,66757.16129917279,27520.39394708468,66765.16129917279,27520.39394708468
LINE,S-RBAR,420.0,66561.66518635766,27520.39394708468,66561.66518635766,27100.39394708468
LINE,S-RBAR,420.0,66569.66518635766,27520.39394708468,66569.66518635766,27100.39394708468
LINE,S-RBAR,8.0,66561.66518635766,27520.39394708468,66569.66518635766,27520.39394708468
LINE,S-RBAR,420.0,66366.16907354249,27520.39394708468,66366.16907354249,27100.39394708468
LINE,S-RBAR,420.0,66374.16907354249,27520.39394708468,66374.16907354249,27100.39394708468
LINE,S-RBAR,8.0,66366.16907354249,27520.39394708468,66374.16907354249,27520.39394708468
LINE,S-RBAR,420.0,66170.67296072734,27520.39394708468,66170.67296072734,27100.39394708468
LINE,S-RBAR,420.0,66178.67296072734,27520.39394708468,66178.67296072734,27100.39394708468
LINE,S-RBAR,8.0,66170.67296072734,27520.39394708468,66178.67296072734,27520.39394708468
LINE,S-RBAR,420.0,65975.1768479122,27520.39394708468,65975.1768479122,27100.39394708468
LINE,S-RBAR,420.0,65983.1768479122,27520.39394708468,65983.1768479122,27100.39394708468
LINE,S-RBAR,8.0,65975.1768479122,27520.39394708468,65983.1768479122,27520.39394708468
LINE,S-RBAR,420.0,65779.68073509705,27520.39394708468,65779.68073509705,27100.39394708468
LINE,S-RBAR,420.0,65787.68073509705,27520.39394708468,65787.68073509705,27100.39394708468
LINE,S-RBAR,8.0,65779.68073509705,27520.39394708468,65787.68073509705,27520.39394708468
LINE,S-RBAR,420.0,65584.1846222819,27520.39394708468,65584.1846222819,27100.39394708468
LINE,S-RBAR,420.0,65592.1846222819,27520.39394708468,65592.1846222819,27100.39394708468
LINE,S-RBAR,8.0,65584.1846222819,27520.39394708468,65592.1846222819,27520.39394708468
LINE,S-RBAR,420.0,65388.68850946675,27520.39394708468,65388.68850946675,27100.39394708468
LINE,S-RBAR,420.0,65396.68850946674,27520.39394708468,65396.68850946674,27100.39394708468
LINE,S-RBAR,8.0,65388.68850946675,27520.39394708468,65396.68850946674,27520.39394708468
LINE,S-RBAR,420.0,65193.1923966516,27520.39394708468,65193.1923966516,27100.39394708468
LINE,S-RBAR,420.0,65201.1923966516,27520.39394708468,65201.1923966516,27100.39394708468
LINE,S-RBAR,8.0,65193.1923966516,27520.39394708468,65201.1923966516,27520.39394708468
LINE,S-RBAR,420.0,64997.69628383644,27520.39394708468,64997.69628383644,27100.39394708468
LINE,S-RBAR,420.0,65005.69628383644,27520.39394708468,65005.69628383644,27100.39394708468
LINE,S-RBAR,8.0,64997.69628383644,27520.39394708468,65005.69628383644,27520.39394708468
LINE,S-RBAR,420.0,64802.2001710213,27520.39394708468,64802.2001710213,27100.39394708468
LINE,S-RBAR,420.0,64810.20017102129,27520.39394708468,64810.20017102129,27100.39394708468
LINE,S-RBAR,8.0,64802.2001710213,27520.39394708468,64810.20017102129,27520.39394708468
LINE,S-RBAR,420.0,64606.70405820615,27520.39394708468,64606.70405820615,27100.39394708468
LINE,S-RBAR,420.0,64614.70405820615,27520.39394708468,64614.70405820615,27100.39394708468
LINE,S-RBAR,8.0,64606.70405820615,27520.39394708468,64614.70405820615,27520.39394708468
LINE,S-RBAR,420.0,64411.20794539099,27520.39394708468,64411.20794539099,27100.39394708468
LINE,S-RBAR,420.0,64419.20794539099,27520.39394708468,64419.20794539099,27100.39394708468
LINE,S-RBAR,8.0,64411.20794539099,27520.39394708468,64419.20794539099,27520.39394708468
LINE,S-RBAR,420.0,64215.71183257584,27520.39394708468,64215.71183257584,27100.39394708468
LINE,S-RBAR,420.0,64223.71183257584,27520.39394708468,64223.71183257584,27100.39394708468
LINE,S-RBAR,8.0,64215.71183257584,27520.39394708468,64223.71183257584,27520.39394708468
LINE,S-RBAR,420.0,64020.21571976069,27520.39394708468,64020.21571976069,27100.39394708468
LINE,S-RBAR,420.0,64028.21571976069,27520.39394708468,64028.21571976069,27100.39394708468
